Mask No,PRODUCT_NAME,LEASE_TENOR_INCLUDING_HP_cluster,VEHICLE_AGE,YOM,LEASE_TENOR_INCLUDING_HP,TOTAL INCOME_NUM,TOTAL INCOME,CUSTOMER AGE,Exp,Sub_purpose_code_based_on_risk,CRIB_SCORE,Percentage_of_Total_Current_Balance_to_Total_Amount_Granted_Limit_slabs,Percentage_of_Total_Arrears_Amount_to_Total_Amount_Granted_Limit_slabs,Percentage_of_Total_Installments_to_Total_Current_Balance_slabs,Cluster
0,CASH IN HAND,24-36,11,2013,25,80000,80000-100000,33,0.104444335,Medium_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Red
1,CASH IN HAND,24-36,4,2020,31,60000,60000-80000,24,0.224572892,Low_risk_sub_purpose_code,Above 80,less than 50 percentage,less than 1 percentage,above 10 percentage,Green
2,Three Wheeler-Lease-Registered,48-60,17,2007,48,60000,60000-80000,41,0.530016807,Low_risk_sub_purpose_code,below 0,between 50 - 100 percentage,between 5 - 10 percentage,less than 2 percentage,Red
3,CASH IN HAND,48-60,9,2015,49,80000,80000-100000,54,0.452255652,Low_risk_sub_purpose_code,Above 80,less than 50 percentage,less than 1 percentage,between 5- 10 percentage,Green
4,Three Wheeler-Lease-Registered,60+,14,2010,61,80000,80000-100000,36,0.827881931,Medium_risk_sub_purpose_code,60-80,between 50 - 100 percentage,above 15 percentage,between 2- 5 percentage,Red
5,Three Wheeler-Lease-Registered,36-48,10,2014,37,100000,100000-120000,32,0.603436888,Low_risk_sub_purpose_code,20-40,less than 50 percentage,between 1 - 5 percentage,above 10 percentage,Green
6,CASH IN HAND,48-60,5,2019,49,150000,120000+,30,0.791424646,Low_risk_sub_purpose_code,40-60,between 50 - 100 percentage,between 1 - 5 percentage,between 5- 10 percentage,Green
7,Three Wheeler-Lease-Registered,60+,18,2006,61,150000,120000+,31,0.785484286,Low_risk_sub_purpose_code,Missing,between 100 - 150 percentage,less than 1 percentage,between 2- 5 percentage,Red
10,Three Wheeler-Lease-Registered,36-48,15,2009,37,80000,80000-100000,20,0.635812179,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Red
11,Three Wheeler-Lease-Registered,36-48,13,2011,37,80000,80000-100000,62,0.532807921,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
12,Three Wheeler-Lease-Registered,24-36,10,2014,25,100000,100000-120000,35,0.634950063,Low_risk_sub_purpose_code,below 0,between 50 - 100 percentage,between 1 - 5 percentage,between 2- 5 percentage,Green
13,Three Wheeler-Lease-Registered,36-48,10,2014,37,60000,60000-80000,47,0.498061798,Low_risk_sub_purpose_code,20-40,less than 50 percentage,less than 1 percentage,Missing,Green
14,Three Wheeler-Lease-Registered,60+,11,2013,61,100000,100000-120000,40,0.430023834,Low_risk_sub_purpose_code,Missing,less than 50 percentage,less than 1 percentage,between 5- 10 percentage,Green
16,CASH IN HAND,60+,8,2016,61,75000,60000-80000,35,0.529362116,Low_risk_sub_purpose_code,Missing,between 100 - 150 percentage,less than 1 percentage,between 2- 5 percentage,Red
17,CASH IN HAND,48-60,17,2007,49,75000,60000-80000,28,0.788822857,Low_risk_sub_purpose_code,Above 80,between 50 - 100 percentage,less than 1 percentage,between 2- 5 percentage,Green
18,CASH IN HAND,24-36,10,2014,25,150000,120000+,32,0.531783187,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
19,Three Wheeler-Lease-Registered,36-48,17,2007,37,150000,120000+,31,0.626410756,Low_risk_sub_purpose_code,20-40,between 150 - 200 percentage,between 5 - 10 percentage,between 2- 5 percentage,Red
20,Three Wheeler-Lease-Registered,60+,10,2014,60,50000,40000-60000,53,0.793814702,Low_risk_sub_purpose_code,below 0,between 100 - 150 percentage,above 15 percentage,between 2- 5 percentage,Red
22,Three Wheeler-Lease-Registered,60+,14,2010,61,300000,120000+,36,0.613279208,Low_risk_sub_purpose_code,Missing,less than 50 percentage,between 1 - 5 percentage,between 5- 10 percentage,Green
23,CASH IN HAND,24-36,14,2010,31,150000,120000+,25,0.395719946,Low_risk_sub_purpose_code,Above 80,less than 50 percentage,less than 1 percentage,between 5- 10 percentage,Green
24,CASH IN HAND,24-36,18,2006,31,100000,100000-120000,27,0.503301989,Low_risk_sub_purpose_code,Above 80,less than 50 percentage,less than 1 percentage,above 10 percentage,Green
25,CASH IN HAND,60+,9,2015,61,20000,< 40000,40,0.730212281,Low_risk_sub_purpose_code,Above 80,between 50 - 100 percentage,between 1 - 5 percentage,between 2- 5 percentage,Red
26,Three Wheeler-Lease-Registered,24-36,10,2014,25,100000,100000-120000,25,0.292264509,Medium_risk_sub_purpose_code,20-40,less than 50 percentage,between 1 - 5 percentage,above 10 percentage,Green
27,Three Wheeler-Lease-Registered,36-48,14,2010,37,300000,120000+,25,0.644730033,Low_risk_sub_purpose_code,40-60,less than 50 percentage,less than 1 percentage,Missing,Green
28,CASH IN HAND,48-60,6,2018,49,300000,120000+,23,0.61736853,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
29,CASH IN HAND,48-60,9,2015,49,100000,100000-120000,56,0.539663027,Low_risk_sub_purpose_code,Missing,less than 50 percentage,between 1 - 5 percentage,above 10 percentage,Green
30,CASH IN HAND,36-48,9,2015,37,100000,100000-120000,44,0.521472174,Low_risk_sub_purpose_code,Above 80,between 50 - 100 percentage,between 5 - 10 percentage,between 5- 10 percentage,Green
31,Three Wheeler-Lease-Registered,36-48,11,2013,43,150000,120000+,38,0.378211399,Low_risk_sub_purpose_code,60-80,between 50 - 100 percentage,between 1 - 5 percentage,between 5- 10 percentage,Green
32,Three Wheeler-Lease-Registered,24-36,10,2014,25,90000,80000-100000,56,0.407429364,Low_risk_sub_purpose_code,60-80,between 100 - 150 percentage,between 10 - 15 percentage,between 2- 5 percentage,Green
33,CASH IN HAND,48-60,11,2013,55,120000,120000+,48,0.517115238,Low_risk_sub_purpose_code,60-80,between 50 - 100 percentage,between 5 - 10 percentage,between 2- 5 percentage,Green
34,Three Wheeler-Lease-Registered,24-36,12,2012,25,200000,120000+,41,0.641667476,Low_risk_sub_purpose_code,40-60,less than 50 percentage,between 5 - 10 percentage,between 5- 10 percentage,Green
35,Three Wheeler-Lease-Registered,< 24,10,2014,19,160000,120000+,36,0.643124718,Low_risk_sub_purpose_code,Above 80,between 50 - 100 percentage,less than 1 percentage,between 2- 5 percentage,Green
36,Three Wheeler-Lease-Registered,48-60,12,2012,49,100000,100000-120000,49,0.604449756,Medium_risk_sub_purpose_code,20-40,less than 50 percentage,between 10 - 15 percentage,above 10 percentage,Green
37,Three Wheeler-Lease-Registered,60+,9,2015,61,80000,80000-100000,33,0.825882609,Medium_risk_sub_purpose_code,40-60,between 50 - 100 percentage,between 1 - 5 percentage,between 5- 10 percentage,Red
38,Three Wheeler-Lease-Registered,60+,8,2016,61,60000,60000-80000,21,0.787977143,Medium_risk_sub_purpose_code,Missing,between 100 - 150 percentage,between 1 - 5 percentage,between 2- 5 percentage,Red
39,Three Wheeler-Lease-Registered,60+,13,2011,61,60000,60000-80000,24,0.828392258,Medium_risk_sub_purpose_code,60-80,between 50 - 100 percentage,less than 1 percentage,between 2- 5 percentage,Red
40,Three Wheeler-Lease-Registered,60+,15,2009,61,150000,120000+,28,0.826376119,Medium_risk_sub_purpose_code,0-20,Missing,Missing,Missing,Red
41,Three Wheeler-Lease-Registered,48-60,16,2008,49,40000,40000-60000,60,0.429496774,Medium_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Red
42,Three Wheeler-Lease-Registered,60+,9,2015,61,80000,80000-100000,46,0.720248696,Low_risk_sub_purpose_code,below 0,less than 50 percentage,above 15 percentage,above 10 percentage,Green
44,Three Wheeler-Lease-Registered,60+,14,2010,61,100000,100000-120000,30,0.622459586,Low_risk_sub_purpose_code,Missing,between 150 - 200 percentage,between 1 - 5 percentage,less than 2 percentage,Green
45,Three Wheeler-Lease-Registered,48-60,19,2005,49,110000,100000-120000,21,0.62253757,Low_risk_sub_purpose_code,Missing,between 100 - 150 percentage,between 5 - 10 percentage,between 2- 5 percentage,Red
46,Three Wheeler-Lease-Registered,48-60,16,2008,49,100000,100000-120000,20,0.624113548,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Red
47,Three Wheeler-Lease-Registered,48-60,8,2016,49,100000,100000-120000,22,0.54432748,Low_risk_sub_purpose_code,Missing,between 50 - 100 percentage,between 1 - 5 percentage,between 5- 10 percentage,Green
48,Three Wheeler-Lease-Registered,36-48,14,2010,37,180000,120000+,24,0.628169931,Low_risk_sub_purpose_code,Missing,between 150 - 200 percentage,above 15 percentage,between 2- 5 percentage,Red
49,CASH IN HAND,36-48,9,2015,37,140000,120000+,31,0.294592488,Low_risk_sub_purpose_code,Missing,between 50 - 100 percentage,less than 1 percentage,between 2- 5 percentage,Green
50,Three Wheeler-Lease-Registered,24-36,10,2014,25,150000,120000+,25,0.505194479,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
51,Three Wheeler-Lease-Registered,48-60,15,2009,49,100000,100000-120000,31,0.594393355,Low_risk_sub_purpose_code,40-60,between 50 - 100 percentage,between 1 - 5 percentage,between 2- 5 percentage,Red
52,Three Wheeler-Lease-Registered,48-60,14,2010,49,90000,80000-100000,26,0.624113242,Low_risk_sub_purpose_code,40-60,less than 50 percentage,less than 1 percentage,Missing,Green
53,Three Wheeler-Lease-Registered,36-48,15,2009,37,150000,120000+,55,0.625739535,Low_risk_sub_purpose_code,20-40,less than 50 percentage,less than 1 percentage,Missing,Red
54,Three Wheeler-Lease-Registered,48-60,11,2013,49,150000,120000+,24,0.565573057,Low_risk_sub_purpose_code,0-20,Missing,Missing,Missing,Green
55,Three Wheeler-Lease-Registered,36-48,9,2015,43,150000,120000+,34,0.499077934,Low_risk_sub_purpose_code,Missing,less than 50 percentage,between 1 - 5 percentage,between 5- 10 percentage,Green
56,Three Wheeler-Lease-Registered,36-48,9,2015,43,70000,60000-80000,38,0.440612207,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
57,Three Wheeler-Lease-Registered,36-48,12,2012,37,160000,120000+,41,0.330319428,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
58,Three Wheeler-Lease-Registered,24-36,7,2017,25,200000,120000+,20,0.541735656,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
59,Three Wheeler-Lease-Registered,48-60,13,2011,49,100000,100000-120000,31,0.521194724,Low_risk_sub_purpose_code,Above 80,between 50 - 100 percentage,less than 1 percentage,between 2- 5 percentage,Green
60,Three Wheeler-Lease-Registered,24-36,11,2013,25,150000,120000+,44,0.183437644,Low_risk_sub_purpose_code,40-60,between 50 - 100 percentage,less than 1 percentage,between 2- 5 percentage,Green
61,CASH IN HAND,48-60,12,2012,49,200000,120000+,50,0.30408878,Medium_risk_sub_purpose_code,60-80,less than 50 percentage,between 1 - 5 percentage,above 10 percentage,Green
62,CASH IN HAND,60+,18,2006,61,120000,120000+,62,0.738728571,Low_risk_sub_purpose_code,20-40,between 50 - 100 percentage,between 10 - 15 percentage,between 2- 5 percentage,Green
63,CASH IN HAND,24-36,18,2006,25,90000,80000-100000,33,0.750740496,Low_risk_sub_purpose_code,Above 80,less than 50 percentage,less than 1 percentage,between 2- 5 percentage,Green
